#node	identifier	category	term ID	term description
BDNF	9606.ENSP00000414303	GO Process	GO:0010604	Positive regulation of macromolecule metabolic process
BDNF	9606.ENSP00000414303	GO Process	GO:0010646	Regulation of cell communication
BDNF	9606.ENSP00000414303	GO Process	GO:0010647	Positive regulation of cell communication
BDNF	9606.ENSP00000414303	GO Process	GO:0010648	Negative regulation of cell communication
BDNF	9606.ENSP00000414303	GO Process	GO:0010720	Positive regulation of cell development
BDNF	9606.ENSP00000414303	GO Process	GO:0010830	Regulation of myotube differentiation
BDNF	9606.ENSP00000414303	GO Process	GO:0010832	Negative regulation of myotube differentiation
BDNF	9606.ENSP00000414303	GO Process	GO:0010941	Regulation of cell death
BDNF	9606.ENSP00000414303	GO Process	GO:0010975	Regulation of neuron projection development
BDNF	9606.ENSP00000414303	GO Process	GO:0010976	Positive regulation of neuron projection development
BDNF	9606.ENSP00000414303	GO Process	GO:0016043	Cellular component organization
BDNF	9606.ENSP00000414303	GO Process	GO:0016049	Cell growth
BDNF	9606.ENSP00000414303	GO Process	GO:0019220	Regulation of phosphate metabolic process
BDNF	9606.ENSP00000414303	GO Process	GO:0019222	Regulation of metabolic process
BDNF	9606.ENSP00000414303	GO Process	GO:0021675	Nerve development
BDNF	9606.ENSP00000414303	GO Process	GO:0022008	Neurogenesis
BDNF	9606.ENSP00000414303	GO Process	GO:0022603	Regulation of anatomical structure morphogenesis
BDNF	9606.ENSP00000414303	GO Process	GO:0022607	Cellular component assembly
BDNF	9606.ENSP00000414303	GO Process	GO:0023051	Regulation of signaling
BDNF	9606.ENSP00000414303	GO Process	GO:0023052	Signaling
BDNF	9606.ENSP00000414303	GO Process	GO:0023056	Positive regulation of signaling
BDNF	9606.ENSP00000414303	GO Process	GO:0023057	Negative regulation of signaling
BDNF	9606.ENSP00000414303	GO Process	GO:0030030	Cell projection organization
BDNF	9606.ENSP00000414303	GO Process	GO:0030154	Cell differentiation
BDNF	9606.ENSP00000414303	GO Process	GO:0030182	Neuron differentiation
BDNF	9606.ENSP00000414303	GO Process	GO:0030307	Positive regulation of cell growth
BDNF	9606.ENSP00000414303	GO Process	GO:0031175	Neuron projection development
BDNF	9606.ENSP00000414303	GO Process	GO:0031323	Regulation of cellular metabolic process
BDNF	9606.ENSP00000414303	GO Process	GO:0031325	Positive regulation of cellular metabolic process
BDNF	9606.ENSP00000414303	GO Process	GO:0031344	Regulation of cell projection organization
BDNF	9606.ENSP00000414303	GO Process	GO:0031346	Positive regulation of cell projection organization
BDNF	9606.ENSP00000414303	GO Process	GO:0031399	Regulation of protein modification process
BDNF	9606.ENSP00000414303	GO Process	GO:0031401	Positive regulation of protein modification process
BDNF	9606.ENSP00000414303	GO Process	GO:0031547	Brain-derived neurotrophic factor receptor signaling pathway
BDNF	9606.ENSP00000414303	GO Process	GO:0031548	Regulation of brain-derived neurotrophic factor receptor signaling pathway
BDNF	9606.ENSP00000414303	GO Process	GO:0031550	Positive regulation of brain-derived neurotrophic factor receptor signaling pathway
BDNF	9606.ENSP00000414303	GO Process	GO:0032092	Positive regulation of protein binding
BDNF	9606.ENSP00000414303	GO Process	GO:0032501	Multicellular organismal process
BDNF	9606.ENSP00000414303	GO Process	GO:0032502	Developmental process
BDNF	9606.ENSP00000414303	GO Process	GO:0032535	Regulation of cellular component size
BDNF	9606.ENSP00000414303	GO Process	GO:0032879	Regulation of localization
BDNF	9606.ENSP00000414303	GO Process	GO:0032880	Regulation of protein localization
BDNF	9606.ENSP00000414303	GO Process	GO:0032989	Cellular component morphogenesis
BDNF	9606.ENSP00000414303	GO Process	GO:0032990	Cell part morphogenesis
BDNF	9606.ENSP00000414303	GO Process	GO:0033135	Regulation of peptidyl-serine phosphorylation
BDNF	9606.ENSP00000414303	GO Process	GO:0033138	Positive regulation of peptidyl-serine phosphorylation
BDNF	9606.ENSP00000414303	GO Process	GO:0034329	Cell junction assembly
BDNF	9606.ENSP00000414303	GO Process	GO:0034330	Cell junction organization
BDNF	9606.ENSP00000414303	GO Process	GO:0038179	Neurotrophin signaling pathway
BDNF	9606.ENSP00000414303	GO Process	GO:0038180	Nerve growth factor signaling pathway
BDNF	9606.ENSP00000414303	GO Process	GO:0040007	Growth
BDNF	9606.ENSP00000414303	GO Process	GO:0040008	Regulation of growth
BDNF	9606.ENSP00000414303	GO Process	GO:0040011	Locomotion
BDNF	9606.ENSP00000414303	GO Process	GO:0042221	Response to chemical
BDNF	9606.ENSP00000414303	GO Process	GO:0042325	Regulation of phosphorylation
BDNF	9606.ENSP00000414303	GO Process	GO:0042327	Positive regulation of phosphorylation
BDNF	9606.ENSP00000414303	GO Process	GO:0042330	Taxis
BDNF	9606.ENSP00000414303	GO Process	GO:0042981	Regulation of apoptotic process
BDNF	9606.ENSP00000414303	GO Process	GO:0043066	Negative regulation of apoptotic process
BDNF	9606.ENSP00000414303	GO Process	GO:0043067	Regulation of programmed cell death
BDNF	9606.ENSP00000414303	GO Process	GO:0043069	Negative regulation of programmed cell death
BDNF	9606.ENSP00000414303	GO Process	GO:0043393	Regulation of protein binding
BDNF	9606.ENSP00000414303	GO Process	GO:0043523	Regulation of neuron apoptotic process
BDNF	9606.ENSP00000414303	GO Process	GO:0043524	Negative regulation of neuron apoptotic process
BDNF	9606.ENSP00000414303	GO Process	GO:0044085	Cellular component biogenesis
BDNF	9606.ENSP00000414303	GO Process	GO:0044087	Regulation of cellular component biogenesis
BDNF	9606.ENSP00000414303	GO Process	GO:0044089	Positive regulation of cellular component biogenesis
BDNF	9606.ENSP00000414303	GO Process	GO:0044093	Positive regulation of molecular function
BDNF	9606.ENSP00000414303	GO Process	GO:0045595	Regulation of cell differentiation
BDNF	9606.ENSP00000414303	GO Process	GO:0045596	Negative regulation of cell differentiation
BDNF	9606.ENSP00000414303	GO Process	GO:0045597	Positive regulation of cell differentiation
BDNF	9606.ENSP00000414303	GO Process	GO:0045664	Regulation of neuron differentiation
BDNF	9606.ENSP00000414303	GO Process	GO:0045927	Positive regulation of growth
BDNF	9606.ENSP00000414303	GO Process	GO:0045937	Positive regulation of phosphate metabolic process
BDNF	9606.ENSP00000414303	GO Process	GO:0048468	Cell development
BDNF	9606.ENSP00000414303	GO Process	GO:0048518	Positive regulation of biological process
BDNF	9606.ENSP00000414303	GO Process	GO:0048519	Negative regulation of biological process
BDNF	9606.ENSP00000414303	GO Process	GO:0048522	Positive regulation of cellular process
BDNF	9606.ENSP00000414303	GO Process	GO:0048523	Negative regulation of cellular process
BDNF	9606.ENSP00000414303	GO Process	GO:0048583	Regulation of response to stimulus
BDNF	9606.ENSP00000414303	GO Process	GO:0048584	Positive regulation of response to stimulus
BDNF	9606.ENSP00000414303	GO Process	GO:0048585	Negative regulation of response to stimulus
BDNF	9606.ENSP00000414303	GO Process	GO:0048588	Developmental cell growth
BDNF	9606.ENSP00000414303	GO Process	GO:0048589	Developmental growth
BDNF	9606.ENSP00000414303	GO Process	GO:0048638	Regulation of developmental growth
BDNF	9606.ENSP00000414303	GO Process	GO:0048639	Positive regulation of developmental growth
BDNF	9606.ENSP00000414303	GO Process	GO:0048666	Neuron development
BDNF	9606.ENSP00000414303	GO Process	GO:0048667	Cell morphogenesis involved in neuron differentiation
BDNF	9606.ENSP00000414303	GO Process	GO:0048668	Collateral sprouting
BDNF	9606.ENSP00000414303	GO Process	GO:0048670	Regulation of collateral sprouting
BDNF	9606.ENSP00000414303	GO Process	GO:0048672	Positive regulation of collateral sprouting
BDNF	9606.ENSP00000414303	GO Process	GO:0048699	Generation of neurons
BDNF	9606.ENSP00000414303	GO Process	GO:0048731	System development
BDNF	9606.ENSP00000414303	GO Process	GO:0048812	Neuron projection morphogenesis
BDNF	9606.ENSP00000414303	GO Process	GO:0048856	Anatomical structure development
BDNF	9606.ENSP00000414303	GO Process	GO:0048858	Cell projection morphogenesis
BDNF	9606.ENSP00000414303	GO Process	GO:0048869	Cellular developmental process
BDNF	9606.ENSP00000414303	GO Process	GO:0050767	Regulation of neurogenesis
BDNF	9606.ENSP00000414303	GO Process	GO:0050769	Positive regulation of neurogenesis
BDNF	9606.ENSP00000414303	GO Process	GO:0050770	Regulation of axonogenesis
BDNF	9606.ENSP00000414303	GO Process	GO:0050772	Positive regulation of axonogenesis
BDNF	9606.ENSP00000414303	GO Process	GO:0050789	Regulation of biological process
BDNF	9606.ENSP00000414303	GO Process	GO:0050793	Regulation of developmental process
BDNF	9606.ENSP00000414303	GO Process	GO:0050794	Regulation of cellular process
BDNF	9606.ENSP00000414303	GO Process	GO:0050803	Regulation of synapse structure or activity
BDNF	9606.ENSP00000414303	GO Process	GO:0050804	Modulation of chemical synaptic transmission
BDNF	9606.ENSP00000414303	GO Process	GO:0050807	Regulation of synapse organization
BDNF	9606.ENSP00000414303	GO Process	GO:0050808	Synapse organization
BDNF	9606.ENSP00000414303	GO Process	GO:0050877	Nervous system process
BDNF	9606.ENSP00000414303	GO Process	GO:0050890	Cognition
BDNF	9606.ENSP00000414303	GO Process	GO:0050896	Response to stimulus
BDNF	9606.ENSP00000414303	GO Process	GO:0051093	Negative regulation of developmental process
BDNF	9606.ENSP00000414303	GO Process	GO:0051094	Positive regulation of developmental process
BDNF	9606.ENSP00000414303	GO Process	GO:0051098	Regulation of binding
BDNF	9606.ENSP00000414303	GO Process	GO:0051099	Positive regulation of binding
BDNF	9606.ENSP00000414303	GO Process	GO:0051128	Regulation of cellular component organization
BDNF	9606.ENSP00000414303	GO Process	GO:0051130	Positive regulation of cellular component organization
BDNF	9606.ENSP00000414303	GO Process	GO:0051147	Regulation of muscle cell differentiation
BDNF	9606.ENSP00000414303	GO Process	GO:0051148	Negative regulation of muscle cell differentiation
BDNF	9606.ENSP00000414303	GO Process	GO:0051153	Regulation of striated muscle cell differentiation
BDNF	9606.ENSP00000414303	GO Process	GO:0051154	Negative regulation of striated muscle cell differentiation
BDNF	9606.ENSP00000414303	GO Process	GO:0051171	Regulation of nitrogen compound metabolic process
BDNF	9606.ENSP00000414303	GO Process	GO:0051173	Positive regulation of nitrogen compound metabolic process
BDNF	9606.ENSP00000414303	GO Process	GO:0051174	Regulation of phosphorus metabolic process
BDNF	9606.ENSP00000414303	GO Process	GO:0051239	Regulation of multicellular organismal process
BDNF	9606.ENSP00000414303	GO Process	GO:0051240	Positive regulation of multicellular organismal process
BDNF	9606.ENSP00000414303	GO Process	GO:0051246	Regulation of protein metabolic process
BDNF	9606.ENSP00000414303	GO Process	GO:0051247	Positive regulation of protein metabolic process
BDNF	9606.ENSP00000414303	GO Process	GO:0051716	Cellular response to stimulus
BDNF	9606.ENSP00000414303	GO Process	GO:0051960	Regulation of nervous system development
BDNF	9606.ENSP00000414303	GO Process	GO:0051962	Positive regulation of nervous system development
BDNF	9606.ENSP00000414303	GO Process	GO:0051963	Regulation of synapse assembly
BDNF	9606.ENSP00000414303	GO Process	GO:0051965	Positive regulation of synapse assembly
BDNF	9606.ENSP00000414303	GO Process	GO:0060255	Regulation of macromolecule metabolic process
BDNF	9606.ENSP00000414303	GO Process	GO:0060284	Regulation of cell development
BDNF	9606.ENSP00000414303	GO Process	GO:0060341	Regulation of cellular localization
BDNF	9606.ENSP00000414303	GO Process	GO:0060548	Negative regulation of cell death
BDNF	9606.ENSP00000414303	GO Process	GO:0060560	Developmental growth involved in morphogenesis
BDNF	9606.ENSP00000414303	GO Process	GO:0061387	Regulation of extent of cell growth
BDNF	9606.ENSP00000414303	GO Process	GO:0061564	Axon development
BDNF	9606.ENSP00000414303	GO Process	GO:0065007	Biological regulation
BDNF	9606.ENSP00000414303	GO Process	GO:0065008	Regulation of biological quality
BDNF	9606.ENSP00000414303	GO Process	GO:0065009	Regulation of molecular function
BDNF	9606.ENSP00000414303	GO Process	GO:0070848	Response to growth factor
BDNF	9606.ENSP00000414303	GO Process	GO:0070887	Cellular response to chemical stimulus
BDNF	9606.ENSP00000414303	GO Process	GO:0071310	Cellular response to organic substance
BDNF	9606.ENSP00000414303	GO Process	GO:0071363	Cellular response to growth factor stimulus
BDNF	9606.ENSP00000414303	GO Process	GO:0071495	Cellular response to endogenous stimulus
BDNF	9606.ENSP00000414303	GO Process	GO:0071840	Cellular component organization or biogenesis
BDNF	9606.ENSP00000414303	GO Process	GO:0080090	Regulation of primary metabolic process
BDNF	9606.ENSP00000414303	GO Process	GO:0090066	Regulation of anatomical structure size
BDNF	9606.ENSP00000414303	GO Process	GO:0097485	Neuron projection guidance
BDNF	9606.ENSP00000414303	GO Process	GO:0099177	Regulation of trans-synaptic signaling
BDNF	9606.ENSP00000414303	GO Process	GO:0120035	Regulation of plasma membrane bounded cell projection organization
BDNF	9606.ENSP00000414303	GO Process	GO:0120036	Plasma membrane bounded cell projection organization
BDNF	9606.ENSP00000414303	GO Process	GO:0120039	Plasma membrane bounded cell projection morphogenesis
BDNF	9606.ENSP00000414303	GO Process	GO:1900120	Regulation of receptor binding
BDNF	9606.ENSP00000414303	GO Process	GO:1900122	Positive regulation of receptor binding
BDNF	9606.ENSP00000414303	GO Process	GO:1901214	Regulation of neuron death
BDNF	9606.ENSP00000414303	GO Process	GO:1901215	Negative regulation of neuron death
BDNF	9606.ENSP00000414303	GO Process	GO:1901888	Regulation of cell junction assembly
BDNF	9606.ENSP00000414303	GO Process	GO:1901890	Positive regulation of cell junction assembly
BDNF	9606.ENSP00000414303	GO Process	GO:1990089	Response to nerve growth factor
BDNF	9606.ENSP00000414303	GO Process	GO:1990090	Cellular response to nerve growth factor stimulus
BDNF	9606.ENSP00000414303	GO Process	GO:2000008	Regulation of protein localization to cell surface
BDNF	9606.ENSP00000414303	GO Process	GO:2000026	Regulation of multicellular organismal development
BDNF	9606.ENSP00000414303	GO Process	GO:2001233	Regulation of apoptotic signaling pathway
BDNF	9606.ENSP00000414303	GO Process	GO:2001234	Negative regulation of apoptotic signaling pathway
BDNF	9606.ENSP00000414303	GO Function	GO:0005102	Signaling receptor binding
BDNF	9606.ENSP00000414303	GO Function	GO:0005123	Death receptor binding
BDNF	9606.ENSP00000414303	GO Function	GO:0005126	Cytokine receptor binding
BDNF	9606.ENSP00000414303	GO Function	GO:0005163	Nerve growth factor receptor binding
BDNF	9606.ENSP00000414303	GO Function	GO:0005165	Neurotrophin receptor binding
BDNF	9606.ENSP00000414303	GO Function	GO:0005488	Binding
BDNF	9606.ENSP00000414303	GO Function	GO:0005515	Protein binding
BDNF	9606.ENSP00000414303	GO Function	GO:0008083	Growth factor activity
BDNF	9606.ENSP00000414303	GO Function	GO:0030545	Signaling receptor regulator activity
BDNF	9606.ENSP00000414303	GO Function	GO:0030546	Signaling receptor activator activity
BDNF	9606.ENSP00000414303	GO Function	GO:0032813	Tumor necrosis factor receptor superfamily binding
BDNF	9606.ENSP00000414303	GO Function	GO:0048018	Receptor ligand activity
BDNF	9606.ENSP00000414303	GO Function	GO:0098772	Molecular function regulator activity
BDNF	9606.ENSP00000414303	GO Component	GO:0005576	Extracellular region
BDNF	9606.ENSP00000414303	GO Component	GO:0005615	Extracellular space
BDNF	9606.ENSP00000414303	GO Component	GO:0005622	Intracellular anatomical structure
BDNF	9606.ENSP00000414303	GO Component	GO:0005634	Nucleus
BDNF	9606.ENSP00000414303	GO Component	GO:0005654	Nucleoplasm
BDNF	9606.ENSP00000414303	GO Component	GO:0005737	Cytoplasm
BDNF	9606.ENSP00000414303	GO Component	GO:0005739	Mitochondrion
BDNF	9606.ENSP00000414303	GO Component	GO:0008021	Synaptic vesicle
BDNF	9606.ENSP00000414303	GO Component	GO:0012505	Endomembrane system
BDNF	9606.ENSP00000414303	GO Component	GO:0016604	Nuclear body
BDNF	9606.ENSP00000414303	GO Component	GO:0016607	Nuclear speck
BDNF	9606.ENSP00000414303	GO Component	GO:0030054	Cell junction
BDNF	9606.ENSP00000414303	GO Component	GO:0030133	Transport vesicle
BDNF	9606.ENSP00000414303	GO Component	GO:0030424	Axon
BDNF	9606.ENSP00000414303	GO Component	GO:0030425	Dendrite
BDNF	9606.ENSP00000414303	GO Component	GO:0031410	Cytoplasmic vesicle
BDNF	9606.ENSP00000414303	GO Component	GO:0031974	Membrane-enclosed lumen
BDNF	9606.ENSP00000414303	GO Component	GO:0031981	Nuclear lumen
BDNF	9606.ENSP00000414303	GO Component	GO:0031982	Vesicle
BDNF	9606.ENSP00000414303	GO Component	GO:0036477	Somatodendritic compartment
BDNF	9606.ENSP00000414303	GO Component	GO:0042995	Cell projection
BDNF	9606.ENSP00000414303	GO Component	GO:0043005	Neuron projection
BDNF	9606.ENSP00000414303	GO Component	GO:0043226	Organelle
BDNF	9606.ENSP00000414303	GO Component	GO:0043227	Membrane-bounded organelle
BDNF	9606.ENSP00000414303	GO Component	GO:0043229	Intracellular organelle
BDNF	9606.ENSP00000414303	GO Component	GO:0043231	Intracellular membrane-bounded organelle
BDNF	9606.ENSP00000414303	GO Component	GO:0043233	Organelle lumen
BDNF	9606.ENSP00000414303	GO Component	GO:0045202	Synapse
BDNF	9606.ENSP00000414303	GO Component	GO:0048471	Perinuclear region of cytoplasm
BDNF	9606.ENSP00000414303	GO Component	GO:0070013	Intracellular organelle lumen
BDNF	9606.ENSP00000414303	GO Component	GO:0070382	Exocytic vesicle
BDNF	9606.ENSP00000414303	GO Component	GO:0097447	Dendritic tree
BDNF	9606.ENSP00000414303	GO Component	GO:0097708	Intracellular vesicle
BDNF	9606.ENSP00000414303	GO Component	GO:0098793	Presynapse
BDNF	9606.ENSP00000414303	GO Component	GO:0099503	Secretory vesicle
BDNF	9606.ENSP00000414303	GO Component	GO:0110165	Cellular anatomical entity
BDNF	9606.ENSP00000414303	GO Component	GO:0120025	Plasma membrane bounded cell projection
BDNF	9606.ENSP00000414303	STRING clusters	CL:17325	Mixed, incl. Constitutive Signaling by Aberrant PI3K in Cancer, and SH2 domain superfamily
BDNF	9606.ENSP00000414303	STRING clusters	CL:17326	Mixed, incl. Constitutive Signaling by Aberrant PI3K in Cancer, and SH2 domain superfamily
BDNF	9606.ENSP00000414303	STRING clusters	CL:17327	Mixed, incl. Constitutive Signaling by Aberrant PI3K in Cancer, and Tyrosine-protein kinase, catalytic domain
BDNF	9606.ENSP00000414303	STRING clusters	CL:17594	Mixed, incl. Nerve growth factor signaling pathway, and Glial cell line-derived neurotrophic factor family
BDNF	9606.ENSP00000414303	STRING clusters	CL:17617	Nerve growth factor-like, and Nerve growth factor receptor activity
BDNF	9606.ENSP00000414303	KEGG	hsa04010	MAPK signaling pathway
BDNF	9606.ENSP00000414303	KEGG	hsa04014	Ras signaling pathway
BDNF	9606.ENSP00000414303	KEGG	hsa04024	cAMP signaling pathway
BDNF	9606.ENSP00000414303	KEGG	hsa04151	PI3K-Akt signaling pathway
BDNF	9606.ENSP00000414303	KEGG	hsa04722	Neurotrophin signaling pathway
BDNF	9606.ENSP00000414303	KEGG	hsa05016	Huntington disease
BDNF	9606.ENSP00000414303	KEGG	hsa05030	Cocaine addiction
BDNF	9606.ENSP00000414303	KEGG	hsa05034	Alcoholism
BDNF	9606.ENSP00000414303	Reactome	HSA-162582	Signal Transduction
BDNF	9606.ENSP00000414303	Reactome	HSA-166520	Signaling by NTRKs
BDNF	9606.ENSP00000414303	Reactome	HSA-212436	Generic Transcription Pathway
BDNF	9606.ENSP00000414303	Reactome	HSA-73857	RNA Polymerase II Transcription
BDNF	9606.ENSP00000414303	Reactome	HSA-74160	Gene expression (Transcription)
BDNF	9606.ENSP00000414303	Reactome	HSA-8986944	Transcriptional Regulation by MECP2
BDNF	9606.ENSP00000414303	Reactome	HSA-9006115	Signaling by NTRK2 (TRKB)
BDNF	9606.ENSP00000414303	Reactome	HSA-9006934	Signaling by Receptor Tyrosine Kinases
BDNF	9606.ENSP00000414303	Reactome	HSA-9022702	MECP2 regulates transcription of neuronal ligands
BDNF	9606.ENSP00000414303	Reactome	HSA-9024909	BDNF activates NTRK2 (TRKB) signaling
BDNF	9606.ENSP00000414303	Reactome	HSA-9026519	Activated NTRK2 signals through RAS
BDNF	9606.ENSP00000414303	Reactome	HSA-9026527	Activated NTRK2 signals through PLCG1
BDNF	9606.ENSP00000414303	Reactome	HSA-9028335	Activated NTRK2 signals through PI3K
BDNF	9606.ENSP00000414303	Reactome	HSA-9028731	Activated NTRK2 signals through FRS2 and FRS3
BDNF	9606.ENSP00000414303	Reactome	HSA-9032500	Activated NTRK2 signals through FYN
BDNF	9606.ENSP00000414303	Reactome	HSA-9032759	NTRK2 activates RAC1
BDNF	9606.ENSP00000414303	Reactome	HSA-9032845	Activated NTRK2 signals through CDK5
BDNF	9606.ENSP00000414303	Reactome	HSA-9634815	Transcriptional Regulation by NPAS4
BDNF	9606.ENSP00000414303	Reactome	HSA-9768919	NPAS4 regulates expression of target genes
BDNF	9606.ENSP00000414303	WikiPathways	WP2035	Follicle stimulating hormone (FSH) signaling pathway
BDNF	9606.ENSP00000414303	WikiPathways	WP2380	Brain-derived neurotrophic factor (BDNF) signaling pathway
BDNF	9606.ENSP00000414303	WikiPathways	WP2431	Spinal cord injury
BDNF	9606.ENSP00000414303	WikiPathways	WP3584	MECP2 and associated Rett syndrome
BDNF	9606.ENSP00000414303	WikiPathways	WP3676	BDNF-TrkB signaling
BDNF	9606.ENSP00000414303	WikiPathways	WP382	MAPK signaling pathway
BDNF	9606.ENSP00000414303	WikiPathways	WP3853	ERK pathway in Huntingtons disease
BDNF	9606.ENSP00000414303	WikiPathways	WP3998	Prader-Willi and Angelman syndrome
BDNF	9606.ENSP00000414303	WikiPathways	WP4172	PI3K-Akt signaling pathway
BDNF	9606.ENSP00000414303	WikiPathways	WP4539	Synaptic signaling pathways associated with autism spectrum disorder
BDNF	9606.ENSP00000414303	WikiPathways	WP4549	Fragile X syndrome
BDNF	9606.ENSP00000414303	WikiPathways	WP4564	Neural crest cell migration during development
BDNF	9606.ENSP00000414303	WikiPathways	WP4565	Neural crest cell migration in cancer
BDNF	9606.ENSP00000414303	WikiPathways	WP4829	mBDNF and proBDNF regulation of GABA neurotransmission
BDNF	9606.ENSP00000414303	WikiPathways	WP5083	Neuroinflammation and glutamatergic signaling
BDNF	9606.ENSP00000414303	WikiPathways	WP5087	Malignant pleural mesothelioma
BDNF	9606.ENSP00000414303	WikiPathways	WP5231	Hippocampal synaptogenesis and neurogenesis
BDNF	9606.ENSP00000414303	WikiPathways	WP5265	Neurogenesis regulation in the olfactory epithelium
BDNF	9606.ENSP00000414303	WikiPathways	WP5283	Chronic hyperglycemia impairment of neuron function
BDNF	9606.ENSP00000414303	WikiPathways	WP5316	Primary ovarian insufficiency
BDNF	9606.ENSP00000414303	WikiPathways	WP706	Sudden infant death syndrome (SIDS) susceptibility pathways
BDNF	9606.ENSP00000414303	DISEASES	DOID:0060037	Developmental disorder of mental health
BDNF	9606.ENSP00000414303	DISEASES	DOID:0060038	Specific developmental disorder
BDNF	9606.ENSP00000414303	DISEASES	DOID:0060040	Pervasive developmental disorder
BDNF	9606.ENSP00000414303	DISEASES	DOID:0060388	Chromosomal deletion syndrome
BDNF	9606.ENSP00000414303	DISEASES	DOID:0080014	Chromosomal disease
BDNF	9606.ENSP00000414303	DISEASES	DOID:10652	Alzheimers disease
BDNF	9606.ENSP00000414303	DISEASES	DOID:10914	Amnestic disorder
BDNF	9606.ENSP00000414303	DISEASES	DOID:1094	Attention deficit hyperactivity disorder
BDNF	9606.ENSP00000414303	DISEASES	DOID:1206	Rett syndrome
BDNF	9606.ENSP00000414303	DISEASES	DOID:12858	Huntingtons disease
BDNF	9606.ENSP00000414303	DISEASES	DOID:1287	Cardiovascular system disease
BDNF	9606.ENSP00000414303	DISEASES	DOID:1289	Neurodegenerative disease
BDNF	9606.ENSP00000414303	DISEASES	DOID:1307	Dementia
BDNF	9606.ENSP00000414303	DISEASES	DOID:14515	WAGR syndrome
BDNF	9606.ENSP00000414303	DISEASES	DOID:1470	Major depressive disorder
BDNF	9606.ENSP00000414303	DISEASES	DOID:150	Disease of mental health
BDNF	9606.ENSP00000414303	DISEASES	DOID:1561	Cognitive disorder
BDNF	9606.ENSP00000414303	DISEASES	DOID:1595	Endogenous depression
BDNF	9606.ENSP00000414303	DISEASES	DOID:1596	Mental depression
BDNF	9606.ENSP00000414303	DISEASES	DOID:178	Vascular disease
BDNF	9606.ENSP00000414303	DISEASES	DOID:2030	Anxiety disorder
BDNF	9606.ENSP00000414303	DISEASES	DOID:2055	Post-traumatic stress disorder
BDNF	9606.ENSP00000414303	DISEASES	DOID:2316	Brain ischemia
BDNF	9606.ENSP00000414303	DISEASES	DOID:2468	Psychotic disorder
BDNF	9606.ENSP00000414303	DISEASES	DOID:2559	Opiate dependence
BDNF	9606.ENSP00000414303	DISEASES	DOID:303	Substance-related disorder
BDNF	9606.ENSP00000414303	DISEASES	DOID:326	Ischemia
BDNF	9606.ENSP00000414303	DISEASES	DOID:331	Central nervous system disease
BDNF	9606.ENSP00000414303	DISEASES	DOID:3312	Bipolar disorder
BDNF	9606.ENSP00000414303	DISEASES	DOID:3324	Mood disorder
BDNF	9606.ENSP00000414303	DISEASES	DOID:3602	Toxic encephalopathy
BDNF	9606.ENSP00000414303	DISEASES	DOID:4	Disease
BDNF	9606.ENSP00000414303	DISEASES	DOID:5419	Schizophrenia
